Report Level 3,BM001126,BM001127,BM001128,BM001129,BM001130,BM001131,BM001132,BM001133,BM001134,BM001135,BM001136,BM001137,BM001138,BM001139,BM001140,BM001141,BM001142,BM001143,BM001144,BM001145,BM001146,BM001147,BM001148,BM001149,BM001150,BM001151,BM001152,BM001153,BM001154,BM001155,BM001156,BM001157,BM001158,BM001159,BM001160,BM001161,BM001162,BM001163,BM001164,BM001165
GABA,16.53684059172849,16.469666432123425,16.58669595831986,16.596895057103346,16.75967404328517,16.817432094049074,16.755919528972694,16.8092699864152,16.66513826042161,16.707954490335013,16.646230003684344,16.735576203255754,16.650731333351214,16.706568470711442,16.774307725972875,16.494340949914882,16.446881825204574,16.735206676749424,16.741333781662597,16.392148424208777,16.656267626983972,16.691909639778686,16.813699123079,16.64097138041732,16.573495046853488,16.671742317367467,16.707326953938555,16.67480887827803,16.54697073639347,16.76823662049028,16.77327901255237,16.535007345175664,16.725749453495148,16.742916049230114,16.664710765669064,16.46538608376223,16.70647243566467,16.62488307191153,16.736919563059608,16.620065968118887
Serotonin,11.738428989941465,11.756956427278235,11.925115037092857,11.947680875564634,12.054845696528107,12.063511773069836,11.993666118927864,12.09001764869386,11.94184303407021,11.959999614483824,12.051240486776233,12.056778997484102,12.374557031027958,12.041151723780018,12.130374865518014,11.69624756346667,11.54964202753766,11.933037200681849,11.930541947060641,11.5499472627392,12.035821448935575,12.061154367049129,12.125808833571343,11.871549601065253,11.86278626823376,12.163138478981425,12.062783795171875,11.88461757079981,11.671575298248184,11.955330350783738,11.957035420605203,11.770452882304161,12.022840981015937,12.075303080478111,11.970182410393603,11.626913173229132,11.942028980226201,11.946898673611438,12.028671844980483,11.741380776055127
Tryptophan,17.498627434790343,17.415042342852505,17.553904531869748,17.530890454747325,17.675321288057518,17.71751332690237,17.692678389405696,17.656065243872543,17.596459567105278,17.59010034916553,17.60868434768631,17.696432669180794,17.68283974165391,17.650008393782553,17.72078537922596,17.410837032549864,17.382392237916918,17.651156304225086,17.682569941099565,17.31223338630154,17.54652727738398,17.639920831564773,17.747094344359365,17.593480514443584,17.52157412195361,17.62523573287341,17.59682650739168,17.586052490054072,17.485253630441587,17.690152660402873,17.716904080161296,17.459449765882326,17.63716945687752,17.68183675393308,17.667679697232153,17.44984081071468,17.680161223112442,17.597570978516206,17.690942270874295,17.51882451393573
Trimethylamine N-oxide (TMAO),15.665376725600279,15.52508855979636,15.774442196155379,15.361346181294158,15.514863505363182,15.611607834065216,15.726548135954284,15.46187619781216,15.680946790091264,15.444744121099081,15.263290843570623,15.431448960796553,16.020645348292387,15.612698917685107,15.73290989174929,15.397817331316702,15.434187416443109,15.778315624857639,15.775868983891195,15.324218878246665,15.689114574280607,15.717312008735739,15.823030313101944,15.832772602564198,15.660052455577416,15.85709191109253,15.73684662679781,15.711656757664366,15.653404076994095,15.854462032501113,15.820640453260333,15.55980068256941,15.779706276044179,15.836185995951777,15.329120091606026,15.40875099610629,15.835768921181412,15.573993264993033,15.886892086916093,15.561683832338087
Indole & Indole Derivatives,12.043208463774626,12.68844702686285,12.249711981783168,11.802282089906955,12.885688748081185,12.784227905640341,12.982362614056157,12.924480363508046,12.893948019807475,13.015205950996236,12.483019657446832,12.712578585752638,12.285462907881938,12.549916997147745,12.68571900163027,12.125190655700125,11.94638727864404,12.38654423098638,12.44631051605975,12.384484281561907,12.288992924268014,12.63628928184692,12.85000316759361,12.251902494441588,12.77230013865034,12.623474588978647,12.299193705865482,12.258080146604836,12.137964538697066,12.463910028079136,12.528688517455224,12.710117632043445,12.56467111003197,12.744890585751305,12.554699159913714,11.71544297270939,12.725526027737354,12.171699101342366,12.58452568121616,12.280451811131629
Cysteine Derivatives,17.36404749411066,17.29733912303112,17.504383438735793,17.241835026839286,17.45057571917115,17.552270143061445,17.530349881649993,17.481976478829463,17.439698871085792,17.415969580735034,17.23300834527646,17.352563266671623,17.48110480984545,17.495364418421524,17.544508433731806,17.256721481073225,17.239615086138148,17.576393791693746,17.53283285332601,17.17749350847462,17.439771533231212,17.47231299923437,17.615086038405693,17.495804540419467,17.414053257752187,17.619718928496233,17.505048238035325,17.476494089936455,17.387306344015876,17.629882535239545,17.568629909298064,17.343871273457662,17.546904615856,17.570441465578515,17.397945747781566,17.30041174779472,17.554621435450084,17.506961394339772,17.594732331033363,17.422712131517443
Bile Acid Pool,15.659477943946913,15.660356966828646,15.591509928634263,15.929832251297874,16.29326318661726,16.267292825951905,16.20106837908035,16.351961671679938,16.061662195978734,16.146571559377914,16.003676455792586,16.188156868805343,15.439212263383546,15.88006535961952,16.02973735179921,15.839210678681804,15.611073801062078,15.873393644222167,16.02492537470114,15.444506669508757,15.782356089266532,15.95015135810876,16.046824100729463,15.757892593938953,15.724831299564512,15.62681669044867,15.902165106609486,15.94666621641404,15.713828696781542,15.896075027168468,16.04140494235644,15.636896034866329,15.877049585434866,15.95205777049535,15.91325957327525,15.706409678252019,15.832563833498579,15.791582375411727,15.900220699825477,15.740201070900591
Imidazole Propionate,14.154335548106799,14.325321380308504,14.431683452881817,14.291798546651084,15.426614200271237,15.262688014124905,15.130609710338316,15.709698809040281,15.084453814549901,15.712949660849835,14.470899049066558,14.735853913911734,14.231720696397597,14.271276259175925,14.880581581806329,14.935408179965345,14.829474334330495,15.22058062186339,15.345431583147063,14.55226763001473,14.837212014407518,14.790537883867238,15.231752941467416,14.327036100477406,14.505547349842649,14.748494075092399,14.733296077404903,15.049092697423436,14.758334619467847,15.055937643460048,15.22307380952382,14.436393601551014,14.823145613680232,14.8167413577037,14.639472229862491,13.787595852095098,14.875591943959735,14.171379064206821,14.89799667397545,15.371848552727416
Oxidative stress,13.003560075010489,12.844303652256157,12.74719156961563,12.609854369858954,12.67207242638733,12.698162751419718,12.760699845220321,12.900549863170069,12.9801490943956,12.71887032877701,12.251508062906517,12.545987668727927,13.85083405886174,12.3722864788873,12.839187388372604,12.594004954640587,12.432785452058207,12.821002611453551,12.840973920933411,12.383039133417105,13.40657706006701,13.09808473510341,12.952238909701775,13.068687602961601,12.906468489209468,12.819063394979985,12.89252194636944,12.830433998627768,12.506176150505375,12.828068375159654,12.790144826949799,12.476734383915886,13.015114163339744,13.127929855950763,12.568358344016891,12.80591110224726,12.772862326973883,12.1829901801094,12.929249160562199,12.535342624669005
Branched Chain Amino Acids,16.96112313260388,16.91370902230447,16.9726678637519,17.011063058917763,17.15018869967613,17.187957676350536,17.175835043110443,17.135435581895443,17.0774614853184,17.10143423771901,17.084236556973863,17.20022968763682,17.12839471219612,17.098961234377256,17.206986412126984,16.90010934990044,16.82912251946138,17.08461104470371,17.14764026289119,16.729914282852917,17.031235138390212,17.1201295172182,17.18888107157167,17.0389086320984,17.003896565469297,17.048150477332644,17.059228436123025,17.068059857980092,16.922701347508973,17.122194486129118,17.172001867820303,16.863636031651126,17.099803820489324,17.14964531923674,17.04718399474782,16.84311893632407,17.15577958528955,17.054805455442498,17.16068730475347,16.95124494353347
Butyrate (SCFA),17.91810965779612,17.837246761026957,18.031854149336702,17.862361698846108,18.06848048413511,18.166042074114497,18.115976462810533,18.131204713343294,18.04548461182618,18.029432786109325,17.880991219880197,18.003604176197154,18.103761294328095,18.073747283743707,18.131555417828515,17.87869665773437,17.8510060003607,18.1550880250741,18.13589308025692,17.7918997077847,18.0205929345435,18.077234930494622,18.210718476475225,18.051682695192,17.96161962182866,18.145466832875762,18.0828647250077,18.07132936845269,17.96430924869552,18.18957051559444,18.16313103959222,17.93879245981643,18.126623352739404,18.154816691765674,17.992872351976278,17.860161963716433,18.104812697335177,17.951576233550412,18.156287400810886,18.026540003203046
Lactate,19.24190386132102,19.133594133750428,19.28167848079729,19.24400346642777,19.35437760150362,19.43729025530966,19.407809376610544,19.36347576848947,19.349968443518218,19.302818440088597,19.24941179526096,19.393648310481645,19.474540401032215,19.338734426021883,19.41874035731173,19.158176039465225,19.045875637423183,19.318588510370812,19.349425196725385,19.01233866764213,19.206933845508708,19.346812822716,19.44636379388965,19.367204621423667,19.227608589478606,19.360155189435794,19.35046803709314,19.31346979249802,19.16996671279296,19.360989234750384,19.39087823237224,19.215404401372325,19.31190164131334,19.391211244787712,19.466442823765274,19.32885038599364,19.373162228142917,19.285362501167796,19.42854208714544,19.201133325534286
