Report Level 3,BM001166,BM001167,BM001168,BM001169,BM001170,BM001171,BM001172,BM001173,BM001174,BM001175,BM001176,BM001177,BM001178,BM001179,BM001180,BM001181,BM001182,BM001183,BM001184,BM001185,BM001186,BM001187,BM001188,BM001189,BM001190,BM001191,BM001192,BM001193,BM001194,BM001195,BM001196,BM001197,BM001198,BM001199,BM001200,BM001201,BM001202,BM001203,BM001204,BM001205
GABA,16.706904737245235,16.7440624941263,16.679206999362343,16.751348578032317,16.635751262944538,16.680310109977714,16.53644672613073,16.761737205850032,16.632915502620918,16.587930347839965,16.74692095603153,16.573945551164083,16.6909900452687,16.744169627691765,16.661557733209147,16.750628507979936,16.5851077212493,16.61036204399117,16.25205473168512,16.859716846716495,16.878585969417376,16.703821192384126,16.330105007746905,16.431585690454387,16.520138771447314,16.176749776761216,16.757056946735055,16.85521988658915,16.774495991271813,16.31055999310701,16.69566524178276,16.7306388826721,16.389374242199093,16.77905886632941,16.84108843662643,16.803091132477366,16.787747636542544,16.776374146727797,16.73382859769476,16.69476021118304
Serotonin,12.010196800450922,11.981266011157846,11.879515401530874,11.960642565129502,11.916322834855924,11.901487516212228,11.79949481213238,11.99304816227766,11.884577660420554,11.863457221530123,12.006160793857251,11.771597296195909,11.999082385251688,11.959244064661842,11.85267743853146,11.996651290116763,11.871294965616892,11.856224206484914,12.174496585400535,13.271586296610476,12.25142071899851,12.051945125811919,11.521536891042569,11.536420231566934,11.79336697241093,10.830179569025056,12.221430488520568,12.251278773868737,12.102621030877353,11.317285354761376,12.058996962034195,12.053784489131498,11.3851673027587,12.176901451425513,12.355885482915777,12.105387335776426,12.009352771381526,12.078010501822419,12.21661458515963,12.1262956083028
Tryptophan,17.671986090716413,17.69646645645127,17.661935148591997,17.653963944425946,17.595182472704504,17.610762758236028,17.444175737857048,17.663836861479798,17.567227908496665,17.50796903220387,17.644670535949775,17.423230213654257,17.611277837684966,17.640374697941084,17.602884087661455,17.59313712599458,17.509994773159793,17.495160469850454,17.12964164048439,17.745650305361217,17.748583473748514,17.653205866943992,17.256643349385282,17.406703711986566,17.399136775286,17.208837089042092,17.687548556983142,17.70971554073987,17.698718065157813,17.2179699663222,17.56539001057386,17.6998393174269,17.34407960102233,17.479118634799608,17.615910386786837,17.687416777433167,17.844686740780457,17.77513777130078,17.680362747540105,17.673295695176783
Trimethylamine N-oxide (TMAO),15.648242689920984,15.64935077828956,15.727844691944737,15.654063972013338,15.807214278600862,15.64396805065893,15.475902170320468,15.69248991420172,15.615607223988633,15.609812721941722,15.819045177531258,15.434775460495382,15.537317606683102,15.620405420777285,15.703633799712632,15.537507201895862,15.709643620851365,15.536831218946848,15.181828167646088,15.805235766643246,15.984029427001943,15.897572042035176,15.18496636058444,15.692156414091537,15.35874116050735,15.353136485043589,15.874764552607958,15.496817272748052,15.636935532225204,15.270115343419938,15.619366008890966,15.768443070519034,15.532348314833254,15.058239537805562,15.661948127618995,15.705453929202045,16.154575859900945,15.927155489684486,15.936703263638346,16.02401115025583
Indole & Indole Derivatives,12.749655772067486,12.432964625347692,12.63567731442597,12.734218478463568,12.761837914666865,12.932367947120518,12.461011262829281,12.923277339380212,12.874015002248331,12.375623235336185,12.719835850229446,12.400519251104612,12.857040138295822,12.720609803040434,12.757998296697993,12.771753554260789,12.931402361281696,13.02333159973502,13.645822775011073,14.96833649772893,13.133265857500646,12.423656950669193,12.501638178757986,12.433786236139143,12.182055988083771,11.566582104937652,12.625948511414233,12.641875633666963,11.93004612699425,11.43854757157074,12.429346584375198,12.79294073661611,11.736812017867853,12.48651075575085,13.653212320619183,12.938147929927855,13.149524856229425,12.978369047611197,12.962662885726921,13.33344050603098
Cysteine Derivatives,17.43339529578377,17.478312796934546,17.465180347425235,17.50098635029112,17.447715978160527,17.44651589640965,17.33961355225804,17.49343673366597,17.445862448602632,17.4304065356245,17.570645833925006,17.371431904517767,17.41499649803226,17.505079850573072,17.457321299975465,17.47926854000288,17.394027948232267,17.38173611771373,17.138685059665505,17.641527289030602,17.64338723767759,17.581078640436345,17.0200657283797,17.32575185332945,17.316885816603424,17.072344984838644,17.689999786249196,17.5188421773987,17.545942585612828,17.114768646798673,17.534727456781365,17.503979363921168,17.30347529165284,17.477797169238265,17.653502450719497,17.536242767978756,17.642288534918737,17.646474431420106,17.612211517277746,17.600811501499717
Bile Acid Pool,16.047915225669428,16.01800615580384,15.973074100966043,16.10630784957454,15.807064436721214,15.852872294061346,15.751155534568944,16.135055717458222,15.91681226450552,15.713479150771157,15.993037217204764,15.886408204304342,16.126171166682195,16.065599783855493,16.00412465368177,16.18674895537509,15.85558986681161,15.876763689625404,14.8669171517794,15.750615271068774,15.9069467149784,15.850586947350841,15.538241382814252,15.38905838873252,15.685390503195208,15.242958403790102,16.032190294920014,16.395910541265764,16.136785195430488,15.397879485912064,16.060411277808104,16.154868926773524,15.35393368898388,16.20382228442624,16.38990109680187,16.137754358964354,15.859667024132088,15.894965984274203,15.799668529874562,15.754741258030796
Imidazole Propionate,15.063665283214496,14.787696840321104,14.71321357879705,15.39740167548155,14.83284717363276,15.535287935741717,14.971800681727448,15.432997890110386,15.116236461830065,14.687779531213682,15.366285101258244,15.510230926078034,15.359386047880754,15.252095240911675,15.07431013813565,15.728199901812609,15.085838671672962,15.68720014777867,14.288680103286868,15.062086059266063,15.516409389168432,15.219927543564474,13.787170009867328,13.839085008928222,15.520334870648467,12.61654884377899,15.440326108692867,16.15662417115588,14.923043923776433,14.540681018172256,15.362647046309583,15.107020318399176,14.451367828950108,16.474503855585965,16.29292155241553,15.827425079213384,13.487932962091433,15.032456748618985,15.086106635871472,14.66064219628473
Oxidative stress,12.658993928129778,12.553958806033592,12.54233464737125,12.922325478526982,12.928659010813359,12.698346552709907,12.57921692569931,12.873284530544204,12.724438540256168,12.509288408500836,13.009148616834855,12.631262718864036,12.713112235030712,12.712319200419177,12.716640141965641,12.934459979344625,12.995983803807027,12.778821145645939,12.487149992351462,13.21937778381331,13.248662910624171,12.838371419321694,12.58703284572462,12.752232187685816,12.721178949248003,13.142480449951346,12.77042438731222,12.632365924965914,12.975509460865643,12.425444093376749,12.701297797097524,12.621438360572693,12.808513765028387,13.100504116744037,13.016977126043775,13.340527039595376,13.276794695520117,12.825897558688279,13.050412706423836,13.064300981207339
Branched Chain Amino Acids,17.144692560396596,17.152917652474112,17.127044210787982,17.118465083034874,17.06458903768154,17.11103678219104,16.913124403926613,17.153902490251646,17.064423154423803,16.95697484878989,17.12908737036766,16.87536240062401,17.091461420056284,17.10188599917682,17.075738635141445,17.06079108559229,16.989292929261133,17.010754856448035,16.582951730761902,17.330655905086275,17.21462040979879,17.121877240533042,16.73304613729538,16.904270318931463,16.86664372823931,16.62434497162082,17.165162433985362,17.155292601751952,17.158668359617497,16.67113941710494,16.989987998105583,17.195392458630824,16.77583911324899,16.939225965819638,17.119946299205477,17.177852082122268,17.376845770737336,17.241705395228433,17.166645104078775,17.17822985983189
