Report Level 3,BM001206,BM001207,BM001208,BM001209,BM001210,BM001211,BM001212,BM001213,BM001214,BM001215,BM001216,BM001217,BM001218,BM001219,BM001220,BM001221,BM001222,BM001223,BM001224,BM001225,BM001226,BM001227,BM001228,BM001229,BM001230,BM001231,BM001232,BM001233,BM001234,BM001235,BM001236,BM001237,BM001238,BM001239,BM001240,BM001241,BM001242,BM001243,BM001244,BM001245
GABA,16.761133580706954,16.797340852764666,16.629783167871874,16.50833092816004,16.692080198222094,16.592380841756164,16.36125560250806,16.579206187216656,16.748121116715154,16.951446764282277,16.31329927562747,16.581351023536715,16.457466876422693,16.52806407496415,16.758048734492018,16.053739650052737,16.780650777005537,16.84964984107417,16.70025742033914,16.761952892249216,16.70632714605486,16.561169688974275,16.585018539376986,16.712792303933597,16.745851878471047,16.795994618995895,16.819434398174856,16.76797852674438,16.719082127406036,16.8192738759252,16.705984417071733,16.826205897160584,16.859426103355297,16.77660390796917,16.788618448188874,16.198763720992876,16.938043592985988,16.777218072062787,16.740731097754008,16.702027381565948
Serotonin,12.109111379657215,12.116189578109475,11.809351374792762,11.8981365364875,12.09857950555108,11.984332257689552,11.476170580351054,12.079069415869947,12.067515736949183,12.310131301252987,11.672339104773272,11.811116719463529,11.6502562850027,11.732836414713033,11.994254778604105,10.95271846378016,12.034082663424067,12.325866934256888,12.0759985398483,12.275764442862624,11.942504902001874,11.88831688321354,11.932530980573798,11.922268662488834,11.979103429168788,13.039761526718053,13.0472012264968,12.982299574126149,13.246467395648946,13.010835196610522,12.711596213530271,13.066497565407213,12.597922116523062,12.441248629531458,12.484575838011457,11.645837137214732,12.984913597055868,12.601990773344976,12.503767661396274,12.377491204895778
Tryptophan,17.685429161078552,17.58561205888034,17.58529127573976,17.467516697047177,17.692045427149687,17.53719759520427,17.322799720721957,17.362446835847635,17.710961621592894,17.788926633381287,17.248051731620674,17.57072432505027,17.349457702268005,17.4549339939482,17.67151098767728,17.011032036717207,17.67228534204566,17.761387767565598,17.67836789541341,17.650931256191097,17.609634020526112,17.466657841431925,17.53033166271243,17.588450170436694,17.613907651064714,17.740267943898864,17.685296430051284,17.666585093311017,17.60594532229334,17.752060215060535,17.60586328044026,17.522044325251986,17.680152895374675,17.73997036033561,17.6185886974702,17.092722635803113,17.646120567323187,17.685271574480417,17.623265170952095,17.676128466112107
Trimethylamine N-oxide (TMAO),15.810402684536635,15.462578955270894,15.659759306265869,15.393699477512419,15.890202754039208,15.735325957055355,15.625393789812712,15.935334047965995,15.715032934800698,15.642832978769661,15.550223713618434,15.908870124843554,15.33288202317974,15.427662474583528,15.76879221323549,15.021965466966197,15.308777005915962,15.914319256298885,16.032270915153468,15.512645106989785,15.711143449986968,15.249637179227587,15.412215215666658,15.531319620699993,15.634623895987518,15.961607503146988,15.804496086571149,15.741580219192263,15.790439884229999,15.984398876183722,15.632187259330037,15.455460475911723,15.579437335731399,15.836492990512355,15.63449145555511,15.320141936311435,15.591128426765739,15.836409159124221,15.838331617358678,15.787304712618832
Indole & Indole Derivatives,12.676411110586736,12.789246299971404,11.858338515328304,12.712307742280377,12.671375204743752,13.21612742779037,11.87290569301262,12.857901318228235,12.913828129408119,12.635142196874838,12.428891401254566,12.54272719765629,11.843100569754776,11.957570043261978,11.38705875909304,11.528610386123448,14.413362158850106,13.651615694418973,12.229071140039345,13.064954910187135,12.559329286718103,11.926718510589014,12.639664035100303,14.290985745015872,11.760586897407578,14.251304133862805,14.48728359478903,14.135875186495012,14.963274518568147,14.291876474302263,13.832010801760028,14.382424764201817,13.65316640728197,13.417561151763872,14.081804630005328,12.592730319867265,13.936299307570383,13.161327169095228,13.580396375515907,13.192772091857742
Cysteine Derivatives,17.582438086660215,17.546471266146145,17.40095898172743,17.382097897427474,17.543172822421383,17.459306462872103,17.224032904860316,17.571749962737645,17.479138539410748,17.72524613926593,17.23602004236951,17.512218690650666,17.276823713799036,17.26389019446017,17.575944829622784,16.906734436082775,17.429284871660304,17.663166190734504,17.682686310703897,17.53464779782528,17.558224158989667,17.333504693241906,17.303807249180128,17.535534405349697,17.654156159775468,17.575822162457676,17.620154976099478,17.568658036396297,17.55345175075259,17.600750360872496,17.425226444771226,17.550933361876844,17.688332291774785,17.577048660145312,17.553806950199817,17.133148374834256,17.777872336106014,17.637296649329613,17.658103469081063,17.50786531479464
Bile Acid Pool,15.945396053629295,16.342117476532874,15.770773696039896,15.979836119998277,15.617182468142433,15.696655297806338,15.222996918847683,16.20164448517185,16.02163077957431,16.348030805278654,15.166857228310475,15.583180045037011,15.442775229913547,15.713576747599335,16.085410319214894,14.82887951288371,16.203831458829878,16.02802366849459,15.708684220535668,15.342841208664687,16.22905968309289,15.409343696383754,15.966978972541202,16.234845959231752,15.85725134991232,15.661367132757094,15.846487317063325,15.777940535341099,15.457608366499738,15.686819200215384,15.753311563976743,16.111994501296877,15.97250385596681,15.990174891073703,16.20176000418145,14.891936506903246,16.15517448742908,16.028191631237927,16.064335012763124,15.752211799535672
Imidazole Propionate,15.333706740270781,16.071256200649923,14.816179350540146,15.031152378073008,14.431705218311798,15.160776418043207,13.603268570669906,14.731015958978636,14.966194492740643,16.20964107740714,14.180125680113722,14.193345166370813,14.57509759023472,14.847905257834727,15.808731613075718,13.4111596193262,15.003411620991555,15.741325475052259,14.775668917344106,16.463376746827105,15.6481590685712,14.40729343347066,14.98484120050164,14.890232285397948,15.721412714319065,14.609019023791905,15.180204695614602,14.954956906069777,15.350686694725807,14.505499800375452,14.282074390630626,16.168435643573808,15.1703178694464,14.690070017042336,15.723563718119866,13.77832563617791,16.341023013169877,15.23690363941862,15.237249307125994,14.415625587583998
Oxidative stress,13.056077122574928,12.558146426851144,12.63666841274197,12.038241126814839,12.887530982413562,13.023290010724727,12.271663398027572,12.95649716938416,12.748708604743465,12.817086923399554,12.675885756225872,13.039171524532213,12.632090958181017,12.734154257786189,12.342252493099929,11.94450222917725,12.522937012236502,13.332742893065069,12.88637613658487,13.438323615304652,12.683899647908602,12.425615422040545,12.424253777114561,12.92657892727719,12.660379252410717,13.720428827210426,13.547036299443509,13.022371281041211,13.248352592043219,13.489316972530649,12.89015723009452,13.759460677801918,12.737495229476632,13.009141039445142,13.236715824806595,12.492489144538354,12.775632233752932,13.052328600612922,13.2826241641712,12.675599842339278
Branched Chain Amino Acids,17.172879256805427,17.011543910011515,17.05785683702842,16.903794192384744,17.150465239329385,17.002218639269103,16.773375042319536,16.88933961173013,17.223219902400054,17.24783466606724,16.708881269459557,17.0535601005632,16.80153701986633,16.929392229735438,17.147471735041844,16.477417671236676,16.976690532687662,17.319265141421823,17.11875875087513,17.152947450934303,17.076451190176105,16.862797718446714,17.00841804365425,16.964358543722053,17.062616501659704,17.31808595249456,17.208506057596555,17.145572448880646,17.14133323651422,17.26804434971232,17.091401947784178,17.059315446280756,17.148981225653642,17.263120929316003,17.121673505347786,16.552168341650685,17.114423117818255,17.18323807780787,17.179607136975356,17.14727678358268
