Report Level 3,BM000289,BM000290,BM000291,BM000292,BM000293,BM000294,BM000295,BM000296,BM000297,BM000298,BM000299
THINK_WELL,5.0,8.0,1.0,5.0,7.0,5.0,8.0,2.0,1.0,5.0,1.0
LIVE_WELL,6.0,6.0,4.0,5.0,4.0,5.0,5.0,6.0,5.0,7.0,5.0
FEEL_WELL,7.0,8.0,1.0,7.0,7.0,7.0,7.0,1.0,1.0,5.0,1.0
