Report Level 3,BM001413,BM001414,BM001415,BM001416
THINK_WELL,8.0,1.0,8.0,8.0
LIVE_WELL,8.0,4.0,9.0,7.0
FEEL_WELL,7.0,1.0,8.0,7.0
